trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
2595,False,"{'a': 0.005543124597773775, 'e': 0.005543124597773775}",20,6,24.249627323879164,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2596,False,"{'a': 0.0055320383485782275, 'e': 0.0055320383485782275}",25,20,9.3894762980484,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
2597,False,"{'a': 0.005520974271881071, 'e': 0.005520974271881071}",20,10,17.942646229640793,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2598,False,"{'a': 0.005509932323337309, 'e': 0.005509932323337309}",25,15,22.6256420541054,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2599,False,"{'a': 0.005498912458690634, 'e': 0.005498912458690634}",30,10,40.37492043138743,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
2600,False,"{'a': 0.005487914633773253, 'e': 0.005487914633773253}",35,20,28.80364618656903,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
2601,False,"{'a': 0.005476938804505707, 'e': 0.005476938804505707}",25,13,22.95043792930709,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2602,False,"{'a': 0.005465984926896695, 'e': 0.005465984926896695}",20,11,15.98718259254105,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
2603,False,"{'a': 0.005455052957042902, 'e': 0.005455052957042902}",20,12,15.807398774387801,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2604,False,"{'a': 0.005444142851128816, 'e': 0.005444142851128816}",25,10,25.364175760868257,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
2605,False,"{'a': 0.005433254565426558, 'e': 0.005433254565426558}",30,13,35.72443081885663,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
2606,False,"{'a': 0.005422388056295704, 'e': 0.005422388056295704}",25,18,14.915764479879414,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
2607,False,"{'a': 0.005411543280183113, 'e': 0.005411543280183113}",25,17,12.877455038192803,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2608,False,"{'a': 0.0054007201936227475, 'e': 0.0054007201936227475}",30,21,15.697734067793352,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
2609,False,"{'a': 0.005389918753235501, 'e': 0.005389918753235501}",20,10,16.52305804060544,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2610,False,"{'a': 0.005379138915729031, 'e': 0.005379138915729031}",30,22,14.01137453465426,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2611,False,"{'a': 0.005368380637897573, 'e': 0.005368380637897573}",20,12,15.635001772292796,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2612,False,"{'a': 0.005357643876621777, 'e': 0.005357643876621777}",20,8,23.150063608577756,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2613,False,"{'a': 0.005346928588868534, 'e': 0.005346928588868534}",20,15,8.507844026885918,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
2614,False,"{'a': 0.005336234731690797, 'e': 0.005336234731690797}",30,19,22.60583604471613,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
